id;num_operation;date;type_operatin;etat_operation;montant
1;Kwacha;2022-05-17;TypeRecharge;Cree;55065
2;Pants port innovate;2022-05-17;TypeRecharge;EnCours;9517
3;hard deposit Refined;2022-05-17;TypeRecharge;Valide;71439
4;Borders Pants SDD;2022-05-17;TypeRecharge;Annulee;72985
5;Iowa navigate;2022-05-17;TypeRecharge;Rejetee;58288
6;value-added Ergonomic District;2022-05-17;TypeTransfer;Rejetee;47270
7;Computer feed reintermediate;2022-05-17;TypeRecharge;Annulee;87394
8;orchid;2022-05-17;TypeRecharge;Cree;86838
9;Table;2022-05-17;TypeRecharge;EnCours;76856
10;Practical Incredible;2022-05-17;TypeTransfer;Annulee;36791
